Scale Factor,Query Number,Time (seconds)
1,1,5.198755502700806
1,2,0.04857206344604492
1,3,0.022000551223754883
1,4,0.021340370178222656
1,5,0.028975248336791992
1,6,0.0031054019927978516
1,7,0.019095659255981445
1,8,0.020309925079345703
1,9,0.09163165092468262
1,10,0.11156201362609863
1,11,0.01208806037902832
1,12,0.04097723960876465
1,13,0.03418231010437012
1,14,0.05849599838256836
1,15,0.007288694381713867
1,16,0.021136760711669922
1,17,0.016881465911865234
1,18,0.06773972511291504
1,19,0.03702855110168457
1,20,0.05896592140197754
1,21,0.09717392921447754
1,22,0.01802372932434082
10,1,0.5252189636230469
10,2,0.11306977272033691
10,3,0.28981733322143555
10,4,0.21152877807617188
10,5,0.2890594005584717
10,6,0.09173464775085449
10,7,0.299591064453125
10,8,0.3134613037109375
10,9,1.118037462234497
10,10,0.9029371738433838
10,11,0.04695320129394531
10,12,0.23780369758605957
10,13,0.6908073425292969
10,14,0.1030731201171875
10,15,0.18602705001831055
10,16,0.12000298500061035
10,17,0.2959158420562744
10,18,0.7869734764099121
10,19,0.5956854820251465
10,20,0.1985940933227539
10,21,0.8236737251281738
10,22,0.17940092086791992
1,1,0.7073943614959717
1,2,0.037885427474975586
1,3,0.03667402267456055
1,4,0.025104761123657227
1,5,0.027454853057861328
1,6,0.004989147186279297
1,7,0.027499914169311523
1,8,0.023674488067626953
1,9,0.07601785659790039
1,10,0.07968807220458984
1,11,0.016605138778686523
1,12,0.024071455001831055
1,13,0.05559182167053223
1,14,0.022878408432006836
1,15,0.009964466094970703
1,16,0.03767752647399902
1,17,0.02562546730041504
1,18,0.04234504699707031
1,19,0.04915976524353027
1,20,0.025665760040283203
1,21,0.07581353187561035
1,22,0.026089906692504883
10,1,0.3723032474517822
10,2,0.10753655433654785
10,3,0.2138841152191162
10,4,0.17971086502075195
10,5,0.17320752143859863
10,6,0.04309535026550293
10,7,0.16191339492797852
10,8,0.21007013320922852
10,9,0.7645654678344727
10,10,0.7943174839019775
10,11,0.07813715934753418
10,12,0.13914227485656738
10,13,0.3292560577392578
10,14,0.07352447509765625
10,15,0.0605616569519043
10,16,0.09455013275146484
10,17,0.17220330238342285
10,18,0.3679027557373047
10,19,0.2616004943847656
10,20,0.09779977798461914
10,21,0.4501185417175293
10,22,0.08091902732849121
